[18/Dec/2025:21:13:14 +0530] - 302 302 - GET https rb-pihole.nishara.me "/admin/" [Client 192.168.1.156] [Length 0] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/login" [Client 192.168.1.156] [Length 3229] [Gzip 3.46] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/fonts/source-sans-pro/source-sans-pro.css?v=1764268946" [Client 192.168.1.156] [Length 3516] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/bootstrap/css/bootstrap.min.css?v=1764268946" [Client 192.168.1.156] [Length 121457] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/animate/animate.min.css?v=1764268946" [Client 192.168.1.156] [Length 71727] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/font-awesome/css/all.min.css?v=1764268946" [Client 192.168.1.156] [Length 73890] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/nprogress/nprogress.min.css?v=1764268946" [Client 192.168.1.156] [Length 1090] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/adminLTE/AdminLTE.min.css?v=1764268946" [Client 192.168.1.156] [Length 106547] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/icheck/icheck-bootstrap.min.css?v=1764268946" [Client 192.168.1.156] [Length 12504] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/bstreeview/bstreeview.min.css?v=1764268946" [Client 192.168.1.156] [Length 723] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/datatables/datatables.min.css?v=1764268946" [Client 192.168.1.156] [Length 4672] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/datatables-buttons/datatables.buttons.min.css?v=1764268946" [Client 192.168.1.156] [Length 10337] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/datatables-select/datatables.select.min.css?v=1764268946" [Client 192.168.1.156] [Length 4023] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/daterangepicker/daterangepicker.min.css?v=1764268946" [Client 192.168.1.156] [Length 6378] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/bootstrap-toggle/bootstrap-toggle.min.css?v=1764268946" [Client 192.168.1.156] [Length 1590] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/waitMe-js/waitMe.min.css?v=1764268946" [Client 192.168.1.156] [Length 14044] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/select2/select2.min.css?v=1764268946" [Client 192.168.1.156] [Length 14966] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/style/pi-hole.css?v=1764268946" [Client 192.168.1.156] [Length 29210] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/style/themes/default-darker.css?v=1764268946" [Client 192.168.1.156] [Length 154062] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/jquery/jquery.min.js?v=1764268946" [Client 192.168.1.156] [Length 87533] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/bootstrap/js/bootstrap.min.js?v=1764268946" [Client 192.168.1.156] [Length 39680] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/adminLTE/adminlte.min.js?v=1764268946" [Client 192.168.1.156] [Length 13611] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/nprogress/nprogress.min.js?v=1764268946" [Client 192.168.1.156] [Length 7445] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/utils.js?v=1764268946" [Client 192.168.1.156] [Length 20951] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/img/logo.svg" [Client 192.168.1.156] [Length 1026] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/footer.js?v=1764268946" [Client 192.168.1.156] [Length 23408] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/login.js?v=1764268946" [Client 192.168.1.156] [Length 6214] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/img/boxed-bg-dark.png" [Client 192.168.1.156] [Length 11633] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/style/themes/default-darker.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/fonts/source-sans-pro/source-sans-pro-v13-latin-300.woff2" [Client 192.168.1.156] [Length 16064] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/vendor/fonts/source-sans-pro/source-sans-pro.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/fonts/source-sans-pro/source-sans-pro-v13-latin-700.woff2" [Client 192.168.1.156] [Length 15764] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/vendor/fonts/source-sans-pro/source-sans-pro.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/fonts/source-sans-pro/source-sans-pro-v13-latin-regular.woff2" [Client 192.168.1.156] [Length 16112] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/vendor/fonts/source-sans-pro/source-sans-pro.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/font-awesome/webfonts/fa-solid-900.woff2" [Client 192.168.1.156] [Length 158220] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/vendor/font-awesome/css/all.min.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/font-awesome/webfonts/fa-brands-400.woff2" [Client 192.168.1.156] [Length 118684] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/vendor/font-awesome/css/all.min.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/img/favicons/favicon-32x32.png" [Client 192.168.1.156] [Length 936] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 401 401 - GET https rb-pihole.nishara.me "/api/auth" [Client 192.168.1.156] [Length 123] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/api/info/login" [Client 192.168.1.156] [Length 60] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/img/favicons/favicon.ico" [Client 192.168.1.156] [Length 15086] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/login.js?v=1764268946" [Client 192.168.1.156] [Length 6214] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/utils.js?v=1764268946" [Client 192.168.1.156] [Length 20951] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/nprogress/nprogress.min.js?v=1764268946" [Client 192.168.1.156] [Length 7445] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/bootstrap/js/bootstrap.min.js?v=1764268946" [Client 192.168.1.156] [Length 39680] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
