[18/Dec/2025:21:31:00 +0530] - - 301 - GET http rb-casaos.nishara.me "/" [Client 192.168.1.156] [Length 166] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:31:18 +0530] - - 301 - GET http rb-casaos.nishara.me "/" [Client 192.168.1.156] [Length 166] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/" [Client 192.168.1.156] [Length 640] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/css/custom.css" [Client 192.168.1.156] [Length 61] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-casaos.nishara.me/"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/js/custom.js" [Client 192.168.1.156] [Length 56] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-casaos.nishara.me/"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/js/custom.js" [Client 192.168.1.156] [Length 56] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/app.34905a06.js" [Client 192.168.1.156] [Length 304125] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-casaos.nishara.me/"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/vendors-node_modules_pnpm_icewhale_casaos-appmanagement-openapi_0_4_10-alpha2_node_modules_ic-0e239e.eab3b847.js" [Client 192.168.1.156] [Length 629979] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-casaos.nishara.me/"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/app.34905a06.js" [Client 192.168.1.156] [Length 304125] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/css/animate.min.css" [Client 192.168.1.156] [Length 3982] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-casaos.nishara.me/"
[18/Dec/2025:21:42:51 +0530] - 401 401 - GET https rb-casaos.nishara.me "/v2/message_bus/socket.io/?EIO=3&transport=websocket" [Client 192.168.1.156] [Length 51] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/vendors-node_modules_pnpm_icewhale_casaos-appmanagement-openapi_0_4_10-alpha2_node_modules_ic-0e239e.eab3b847.js" [Client 192.168.1.156] [Length 629979] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:42:51 +0530] - 200 200 - GET https rb-casaos.nishara.me "/favicon.ico" [Client 192.168.1.156] [Length 2857] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-casaos.nishara.me/"
