2025/12/18 21:42:29 [warn] 468#468: *3297 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/75/0000000752 while reading upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /public/build/7031.047b15171c23b248efa0.js HTTP/2.0", upstream: "http://192.168.1.174:3000/public/build/7031.047b15171c23b248efa0.js", host: "rb-monitor.nishara.me", referrer: "https://rb-monitor.nishara.me/d/rYdddlPWk/home-lab?orgId=1&from=2025-12-11T10:50:40.588Z&to=2025-12-11T14:11:37.510Z&timezone=browser&var-ds_prometheus=prometheus&var-job=raspberry-pi-node&var-nodename=15b280e193ac&var-node=raspberry-pi-5&refresh=1m"
2025/12/18 21:42:29 [warn] 468#468: *3297 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/75/0000000753 while reading upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /public/build/app.8385deda1df49aa75ec2.js HTTP/2.0", upstream: "http://192.168.1.174:3000/public/build/app.8385deda1df49aa75ec2.js", host: "rb-monitor.nishara.me", referrer: "https://rb-monitor.nishara.me/d/rYdddlPWk/home-lab?orgId=1&from=2025-12-11T10:50:40.588Z&to=2025-12-11T14:11:37.510Z&timezone=browser&var-ds_prometheus=prometheus&var-job=raspberry-pi-node&var-nodename=15b280e193ac&var-node=raspberry-pi-5&refresh=1m"
2025/12/18 21:42:29 [warn] 468#468: *3297 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/75/0000000754 while reading upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /public/build/9414.642bfe0d5eb16efd0c16.js HTTP/2.0", upstream: "http://192.168.1.174:3000/public/build/9414.642bfe0d5eb16efd0c16.js", host: "rb-monitor.nishara.me", referrer: "https://rb-monitor.nishara.me/d/rYdddlPWk/home-lab?orgId=1&from=2025-12-11T10:50:40.588Z&to=2025-12-11T14:11:37.510Z&timezone=browser&var-ds_prometheus=prometheus&var-job=raspberry-pi-node&var-nodename=15b280e193ac&var-node=raspberry-pi-5&refresh=1m"
2025/12/18 21:42:30 [warn] 468#468: *3304 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/75/0000000755 while reading upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /public/build/9414.642bfe0d5eb16efd0c16.js HTTP/2.0", upstream: "http://192.168.1.174:3000/public/build/9414.642bfe0d5eb16efd0c16.js", host: "rb-monitor.nishara.me"
2025/12/18 21:42:30 [warn] 468#468: *3304 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/75/0000000756 while reading upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /public/build/7031.047b15171c23b248efa0.js HTTP/2.0", upstream: "http://192.168.1.174:3000/public/build/7031.047b15171c23b248efa0.js", host: "rb-monitor.nishara.me"
2025/12/18 21:42:30 [warn] 468#468: *3304 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/75/0000000757 while reading upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /public/build/app.8385deda1df49aa75ec2.js HTTP/2.0", upstream: "http://192.168.1.174:3000/public/build/app.8385deda1df49aa75ec2.js", host: "rb-monitor.nishara.me"
2025/12/18 21:42:30 [warn] 468#468: *3304 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/75/0000000758 while reading upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /public/build/9521.e65411d726c29d77c526.js HTTP/2.0", upstream: "http://192.168.1.174:3000/public/build/9521.e65411d726c29d77c526.js", host: "rb-monitor.nishara.me"
2025/12/18 21:51:43 [error] 198#198: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /api/live/ws HTTP/1.1", upstream: "http://192.168.1.174:3000/api/live/ws", host: "rb-monitor.nishara.me"
2025/12/19 01:20:05 [error] 242#242: *3232 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /api/live/ws HTTP/1.1", upstream: "http://192.168.1.174:3000/api/live/ws", host: "rb-monitor.nishara.me"
2025/12/19 01:20:13 [error] 242#242: *3241 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /api/live/ws HTTP/1.1", upstream: "http://192.168.1.174:3000/api/live/ws", host: "rb-monitor.nishara.me"
2025/12/19 01:20:21 [error] 242#242: *3245 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /api/live/ws HTTP/1.1", upstream: "http://192.168.1.174:3000/api/live/ws", host: "rb-monitor.nishara.me"
2025/12/19 01:20:31 [error] 243#243: *3251 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /api/live/ws HTTP/1.1", upstream: "http://192.168.1.174:3000/api/live/ws", host: "rb-monitor.nishara.me"
2025/12/19 01:21:23 [error] 244#244: *3307 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /api/live/ws HTTP/1.1", upstream: "http://192.168.1.174:3000/api/live/ws", host: "rb-monitor.nishara.me"
2025/12/19 01:21:36 [error] 244#244: *3311 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.1.156, server: rb-monitor.nishara.me, request: "GET /api/live/ws HTTP/1.1", upstream: "http://192.168.1.174:3000/api/live/ws", host: "rb-monitor.nishara.me"
